event-id,visible,timestamp,location-long,location-lat,external-temperature,ground-speed,heading,height-above-msl,gls:light-level,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
18490900569,TRUE,59:15.0,-84.5148288,45.4561696,26.6,0.3,0,210.2,0,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18490900570,TRUE,58:31.0,-84.5151872,45.4558464,18.2,0.1,0,215.7,37,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18490900571,TRUE,58:55.0,-84.515776,45.4577376,30.2,0,0,214.6,59,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18490900572,TRUE,58:25.0,-84.4561088,45.4516608,18.9,3.2,0,596.9,19224,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18508278213,TRUE,58:24.0,-84.5160768,45.4553216,25.1,0,0,210.1,155,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18508278214,TRUE,58:31.0,-84.5155136,45.4573472,22.7,0,0,230.8,9,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18508278215,TRUE,59:22.0,-84.5173248,45.4587104,28,0,0,180.5,0,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18508278216,TRUE,58:58.0,-84.517344,45.4594144,27.7,0,0,270.4,0,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18508278217,TRUE,59:02.0,-84.5172736,45.4593344,29.1,0,0,214.7,0,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18508278218,TRUE,58:24.0,-84.5176768,45.4588768,22.1,0,0,236.1,9,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18508278219,TRUE,59:11.0,-84.514368,45.4533312,17.9,0,0,214.5,76,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18508278220,TRUE,58:24.0,-84.3477632,45.4878624,12.7,0,0,341.8,7209,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18516586272,TRUE,58:30.0,-84.1932224,45.5765472,14.3,0,0,215.9,36,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18516586273,TRUE,58:31.0,-84.1931456,45.5749856,15.9,0,0,201.7,10,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18516586274,TRUE,59:19.0,-84.1963904,45.5746368,22.1,0,0,213.4,0,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18516586275,TRUE,58:39.0,-84.179296,45.5679424,14,0,0,199.2,3,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18516586276,TRUE,58:24.0,-84.1791936,45.568032,24.5,0,0,209.9,27,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18524374707,TRUE,58:30.0,-84.179168,45.5680992,24.3,0,0,209.7,22,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18524374708,TRUE,58:25.0,-84.1797184,45.5680992,19.7,0.2,0,194.7,1,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18524374709,TRUE,58:58.0,-84.179776,45.5680768,28.6,0.5,0,203.6,0,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18524374710,TRUE,59:01.0,-84.1797312,45.5680352,16.3,0.1,0,223.5,1,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18524374711,TRUE,59:05.0,-84.17936,45.568208,19.4,0,0,204.7,63,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
18524374712,TRUE,58:24.0,-84.2404416,45.6106464,8.5,8.8,312.6,391.9,3745,gps,Buteo jamaicensis,7507,MACK07,Full cycle migration of RTHA through the Great Lakes
